block_size,implementation,sample_rate_msps,replications,block_period_ms,median_service_ms,median_latency_ms,p99_latency_ms,deadline_miss_fraction,drop_fraction,max_queue_depth,real_time_factor
32768,cpu,40.0,3,0.8191999999999999,0.9912179957609624,8.619114378234372,10.128433065256104,1.0,0.1850941850941851,8,0.8264579572842568
32768,cpu,80.0,3,0.40959999999999996,0.9805439913179725,8.807912759948522,10.233604266832115,1.0,0.5913185913185913,8,0.4177273060940865
32768,cpu,110.0,3,0.2978909090909091,0.9831954957917333,8.847718228935264,11.05443601612933,1.0,0.7044980637473935,8,0.3029823777325463
32768,gpu_pageable,20.0,3,1.6383999999999999,0.45897200470790267,0.6088281515985727,0.8259511581854895,0.0,0.0,1,3.569716634553135
32768,gpu_pageable,30.0,3,1.0922666666666667,0.35976448270957917,0.42434839997440577,0.760821730364114,0.0,0.0,1,3.0360603093452165
32768,gpu_pageable,40.0,3,0.8191999999999999,0.34292700001969934,0.4011110868304968,0.7143087976146489,0.0,0.0,1,2.3888466057001674
32768,gpu_pageable,80.0,3,0.40959999999999996,0.2866385184461251,0.33943897869903594,0.3733921959064901,0.001638001638001638,0.0,1,1.4289775227015975
32768,gpu_pageable,110.0,3,0.2978909090909091,0.27497499831952155,0.31237193616107106,0.3521908062975854,0.6887101578790586,0.0,6,1.0833381613289774
32768,gpu_pinned,20.0,3,1.6383999999999999,0.4577469953801483,0.6168940744828433,0.8244439988629891,0.0,0.0,1,3.57926980741697
32768,gpu_pinned,30.0,3,1.0922666666666667,0.39925948658492416,0.45769254211336374,0.7517063335399143,0.0,0.0,1,2.7357312809506333
32768,gpu_pinned,40.0,3,0.8191999999999999,0.3256099880672991,0.3852171648759395,0.6942566717043518,0.0,0.0,1,2.515893338722406
32768,gpu_pinned,80.0,3,0.40959999999999996,0.2977989934151992,0.3519574092933908,0.3696733611286618,0.004095004095004095,0.0,1,1.3754243938256865
32768,gpu_pinned,110.0,3,0.2978909090909091,0.2610780065879226,0.29831533902324736,0.3300938231404871,0.5019362526064939,0.0,1,1.1410034609353015
32768,gpu_resident,20.0,3,1.6383999999999999,0.44327499927021563,0.6126944208517671,0.8183579862816258,0.0,0.0,1,3.6961254361228915
32768,gpu_resident,30.0,3,1.0922666666666667,0.396576986531727,0.4637163510778919,0.7447882206179203,0.0,0.0,1,2.754236135130052
32768,gpu_resident,40.0,3,0.8191999999999999,0.32202000147663057,0.3809680638369173,0.6866676092613488,0.0,0.0,2,2.5439413584359305
32768,gpu_resident,80.0,3,0.40959999999999996,0.28081750497221947,0.3347805904923007,0.34976002440089365,0.0012285012285012285,0.0,1,1.4585985301753914
32768,gpu_resident,110.0,3,0.2978909090909091,0.27552901883609593,0.3108590899500996,0.38656386546790605,0.6559428060768543,0.0,2,1.0811598369902213
131072,cpu,20.0,3,6.553599999999999,4.66897600563243,4.802376119187102,5.059691064525396,0.0,0.0,1,1.403648250086111
131072,cpu,30.0,3,4.369066666666667,4.401521000545472,6.375705648679286,16.964017788413912,1.0,0.0,8,0.9926265638912587
131072,cpu,40.0,3,3.2767999999999997,4.383079984108917,37.68788860179484,39.61121663596714,1.0,0.22875816993464052,8,0.7476021454959088
131072,cpu,100.0,3,1.31072,4.394806004711427,39.122292000683956,42.75556018517818,1.0,0.6985583224115334,8,0.2982429710423737
131072,cpu,300.0,3,0.43690666666666667,4.311342985602096,38.62486404250376,41.00385319761699,1.0,0.8955875928352992,8,0.10133887935284532
131072,cpu,450.0,3,0.2912711111111111,4.350899005657993,38.97494956618175,41.10879139479948,1.0,0.9324403028538147,8,0.06694504072200631
131072,gpu_pageable,20.0,3,6.553599999999999,0.6380100094247609,0.774767278926447,0.9326525754295288,0.0,0.0,1,10.271939159557732
131072,gpu_pageable,30.0,3,4.369066666666667,0.4891179851256311,0.6666781264357269,0.8358273690100759,0.0,0.0,1,8.93254143076432
131072,gpu_pageable,40.0,3,3.2767999999999997,0.4690710047725588,0.6639129569521174,0.7523838401539251,0.0,0.0,1,6.985722772587151
131072,gpu_pageable,100.0,3,1.31072,0.45728302211500704,0.6040641746949404,0.8607914840104058,0.0,0.0,1,2.866321154758186
131072,gpu_pageable,300.0,3,0.43690666666666667,0.30909001361578703,0.36370588350109756,0.382602532627061,0.0008737439930100481,0.0,1,1.4135256637885478
131072,gpu_pageable,450.0,3,0.2912711111111111,0.30072350637055933,2.611400093883276,2.7883546712109815,1.0,0.049796156086196856,8,0.9685678204090878
131072,gpu_pinned,20.0,3,6.553599999999999,0.6501770112663507,0.773023784859106,0.9308253438211975,0.0,0.0,1,10.079716579390501
131072,gpu_pinned,30.0,3,4.369066666666667,0.4617100057657808,0.629602640401572,0.7740837498567998,0.0,0.0,1,9.462793987798122
131072,gpu_pinned,40.0,3,3.2767999999999997,0.43918448500335217,0.5670250830007717,0.7575775583973154,0.0,0.0,1,7.4611014548362045
131072,gpu_pinned,100.0,3,1.31072,0.43285300489515066,0.5822261155117303,0.8229267242131754,0.0,0.0,1,3.028094954123037
131072,gpu_pinned,300.0,3,0.43690666666666667,0.26957198861055076,0.3246344858780503,0.34510866855271155,0.0,0.0,1,1.6207420842150755
131072,gpu_pinned,450.0,3,0.2912711111111111,0.25988950801547617,0.2935318916570395,0.3294028947129846,0.5259172976121141,0.0,1,1.1207497883822466
131072,gpu_resident,20.0,3,6.553599999999999,0.6156529998406768,0.7629905012436211,0.9096760337706653,0.0,0.0,1,10.644957470679081
131072,gpu_resident,30.0,3,4.369066666666667,0.45570501242764294,0.6333266210276634,0.7853863702621311,0.0,0.0,1,9.587488720810128
131072,gpu_resident,40.0,3,3.2767999999999997,0.42340099753346294,0.6282469985308126,0.784736862988211,0.0,0.0,1,7.739235427146159
131072,gpu_resident,100.0,3,1.31072,0.4241869901306927,0.5905688449274749,0.7939259498380125,0.0,0.0,1,3.089958038543721
131072,gpu_resident,300.0,3,0.43690666666666667,0.2879380190279335,0.34229684388265014,0.3629171894863248,0.002621231979030144,0.0,1,1.5173635914480659
131072,gpu_resident,450.0,3,0.2912711111111111,0.26948000595439225,0.3123250789940357,0.3774551555397925,0.6822947000582411,0.0,2,1.0808635322666829
