dataset,dataset_id,rows,dimensions,algorithm,batch_size,params,tuning_target_recalls,replications,build_seconds_median,corpus_bytes,index_bytes_median,device_memory_after_build_bytes_median,device_memory_search_max_bytes_median,search_memory_telemetry_replications,recall_at_10_median,recall_at_10_min,latency_ms_per_batch_median,latency_ms_per_query_median,queries_per_second_median,confirmed_target_recalls,break_even_status,break_even_queries,break_even_seconds_at_1_qps,break_even_seconds_at_10_qps,break_even_seconds_at_100_qps,break_even_seconds_at_1000_qps
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,32,"{""itopk_size"":32,""search_width"":2}",0.80,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,3,0.903125,0.8625,0.36440999974729493,0.011387812492102967,87813.17752583858,0.80,finite,26764.680010744603,26764.680010744603,2676.4680010744605,267.64680010744604,26.764680010744602
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,32,"{""itopk_size"":32,""search_width"":4}",0.90,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,3,0.940625,0.934375,0.4562399990390986,0.014257499969971832,70138.5237317995,0.90,finite,27510.779607919063,27510.779607919063,2751.077960791906,275.1077960791906,27.510779607919062
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,32,"{""n_probes"":1024}",0.95;0.99,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,1.0,1.0,10.17203399533173,0.3178760623541166,3145.8801666103177,0.95;0.99,ann-not-faster,,,,,
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,32,"{""n_probes"":256}",0.90,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,0.94375,0.9375,9.586257998307701,0.29957056244711566,3338.111701734825,0.90,ann-not-faster,,,,,
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,32,"{""n_probes"":64}",0.80,3,0.39528771600453183,512000128,528959391,1733558272,1733558272,1,0.815625,0.80625,2.4106359996949323,0.07533237499046663,13274.505153017553,0.80,finite,9441.094641836711,9441.094641836711,944.1094641836711,94.41094641836712,9.441094641836711
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_pq_balanced,32,"{""n_probes"":512}",0.80,3,1.5708783290028805,512000128,74711465,1033109504,1537671168,3,0.865625,0.81875,4.637044999981299,0.1449076562494156,6900.946615814393,0.80,ann-not-faster,,,,,
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,brute_force,256,{},1.00,3,0.024398552006459795,512000128,516001186,764674048,1267138560,3,1.0,1.0,24.393560001044534,0.09528734375408021,10494.573157384082,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,256,"{""itopk_size"":128,""search_width"":2}",0.95,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,3,0.98125,0.98046875,2.130457003659103,0.008322097670543371,120162.01198161466,0.95,finite,32565.445227128977,32565.445227128977,3256.5445227128976,325.65445227128976,32.565445227128976
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,256,"{""itopk_size"":32,""search_width"":1}",0.80,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,3,0.812109375,0.808203125,0.6291940007940866,0.002457789065601901,406869.7407745627,0.80,finite,30508.192864882047,30508.192864882047,3050.819286488205,305.08192864882045,30.508192864882048
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,256,"{""itopk_size"":64,""search_width"":2}",0.90,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,3,0.94921875,0.94609375,1.1446889984654263,0.004471441400255571,223641.53088148346,0.90,finite,31184.648113315165,31184.648113315165,3118.4648113315166,311.84648113315166,31.184648113315166
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,256,"{""n_probes"":1024}",0.90;0.95;0.99,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,1.0,1.0,70.69061400397914,0.2761352109530435,3621.414293920122,0.90;0.95;0.99,ann-not-faster,,,,,
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_flat,256,"{""n_probes"":64}",0.80,3,0.39528771600453183,512000128,528959391,1733558272,2236022784,3,0.821484375,0.814453125,19.045000000915024,0.07439453125357431,13441.848253489125,0.80,finite,18919.794354874928,18919.794354874928,1891.9794354874928,189.1979435487493,18.919794354874927
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,ivf_pq_balanced,256,"{""n_probes"":256}",0.80,3,1.5708783290028805,512000128,74711465,1033109504,1537671168,3,0.82578125,0.820703125,19.47024399851216,0.07605564061918813,13148.268712994173,0.80,finite,81681.70639826669,81681.70639826669,8168.170639826669,816.8170639826669,81.68170639826668
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,brute_force,1024,{},1.00,3,0.024398552006459795,512000128,516001186,764674048,1267138560,3,1.0,1.0,77.78100400173571,0.07595801172044503,13165.168194243792,1.00,reference,0.0,0.0,0.0,0.0,0.0
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,1024,"{""itopk_size"":128,""search_width"":1}",0.95,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,3,0.986328125,0.98623046875,8.28258199908305,0.00808845898347954,123632.94442643192,0.95,finite,41728.01858549327,41728.01858549327,4172.801858549327,417.2801858549327,41.728018585493274
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,1024,"{""itopk_size"":32,""search_width"":1}",0.80,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,2,0.8224609375,0.82021484375,2.409733999229502,0.0023532558586225605,424943.16813698853,0.80,finite,38476.616420191865,38476.616420191865,3847.6616420191867,384.7661642019186,38.47661642019187
scale-1m-d128,vectors-0b0f776cb33e,1000000,128,cagra,1024,"{""itopk_size"":64,""search_width"":1}",0.90,3,2.8320619579972117,512000128,768001848,1221853184,1757872128,2,0.9541015625,0.951171875,4.452998997294344,0.004348631833295258,229957.38391636414,0.90,finite,39548.75691508986,39548.75691508986,3954.875691508986,395.48756915089865,39.54875691508986
