"study","profile","codec","rows","parquet_bytes","estimated_logical_bytes","workload","engine","median_seconds","min_seconds","max_seconds","relative_to_fastest","gpu_utilization_mean_percent","process_cpu_cores_mean","process_rss_peak_bytes","trials","correct"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_2","polars-gpu","0.033324713","0.032171822","0.035635779","3.192967362945546","9.0","1.0180356505699353","1377148928","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_6","cudf","0.026230009","0.026000377","0.026522765","1.7903415237391491","14.0","1.4899203099066052","1420935168","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_6","duckdb","0.023776597","0.023754058","0.023860461","1.6228827409975988","18.333333333333332","2.062054347234247","1373990912","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_6","polars-cpu","0.014650841","0.013475415","0.014982887","1.0","8.666666666666666","5.32995109583747","1407844352","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","feature_width_6","polars-gpu","0.034749289","0.033313312","0.03936119","2.3718289619005493","16.0","1.1416654204853738","1378275328","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","join_groupby","cudf","0.026626989","0.026597634","0.027259506","1.7260102336820597","15.333333333333334","0.9869934972105198","1393164288","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","join_groupby","duckdb","0.042878513","0.042096011","0.043407253","2.779463808058404","14.333333333333334","1.7549519441963337","1417809920","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","join_groupby","polars-cpu","0.015426901","0.015233499","0.02002747","1.0","7.833333333333333","3.4819339252212758","1407246336","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","join_groupby","polars-gpu","0.030027358","0.028531059","0.031277277","1.9464283850658017","9.666666666666666","1.0468144336950675","1382543360","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","scan_groupby","cudf","0.018888627","0.018485279","0.018969337","1.7445487432240276","11.0","1.0359590655136328","1384321024","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","scan_groupby","duckdb","0.014275385","0.013489935","0.014298691","1.3184708957823739","11.333333333333334","2.5196748516308767","1377247232","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","scan_groupby","polars-cpu","0.010827228","0.010107674","0.011156168","1.0","5.0","2.6262083731834425","1392041984","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","scan_groupby","polars-gpu","0.030457028","0.0265465","0.033399202","2.8130032913318166","18.333333333333332","0.8551568916786523","1384091648","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","sort_topk","cudf","0.019353406","0.019305476","0.019542307","2.4313547096600256","13.0","0.994663409031769","1407266816","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","sort_topk","duckdb","0.013876248","0.01290217","0.014081974","1.743263223393883","11.0","2.3091212941345467","1392545792","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","sort_topk","polars-cpu","0.007959927","0.007558762","0.008339142","1.0","16.333333333333332","3.5503099313859274","1421643776","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","sort_topk","polars-gpu","0.02542219","0.021834949","0.027238653","3.1937717519268705","14.0","0.8028854367296927","1364770816","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","string_features","cudf","0.01813739","0.018115233","0.01848457","1.5319239688114858","21.333333333333332","1.235169320410988","1372999680","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","string_features","duckdb","0.011839615","0.011796323","0.012039724","1.0","5.0","2.6798897966310684","1402048512","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","string_features","polars-cpu","0.011938158","0.011587149","0.013429668","1.00832315915678","19.0","2.599984893336457","1401307136","3","True"
"crossover","wide","zstd","1000000","98590031","172999980","string_features","polars-gpu","0.027294523","0.026570519","0.027965054","2.3053556217833098","13.333333333333334","1.072795816702655","1390948352","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_12","cudf","0.08842393","0.087872342","0.088661381","1.06656472070237","17.333333333333332","1.6915023757503704","1438720000","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_12","duckdb","0.082905358","0.082480631","0.082925876","1.0","1.222222222222222","6.179042916445937","1721106432","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_12","polars-cpu","0.088804665","0.084815263","0.098012537","1.0711571259362995","16.666666666666668","6.704917157815028","2055835648","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_12","polars-gpu","0.085552978","0.082211359","0.090571507","1.0319354510235637","24.0","1.6937903042399747","1617317888","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_2","cudf","0.038433481","0.038210473","0.038601471","1.1382495177685743","42.0","1.431725265679259","1729310720","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_2","duckdb","0.034482863","0.034223275","0.034963298","1.0212476507405046","20.333333333333332","5.070969378212318","1811898368","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_2","polars-cpu","0.033765427","0.033193749","0.036403723","1.0","11.333333333333334","6.599276591344856","1689182208","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_2","polars-gpu","0.045301775","0.044900811","0.045463566","1.341661546291122","21.0","1.2732902670734416","1590210560","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_6","cudf","0.058598255","0.058451664","0.058901265","1.0936378801158022","35.833333333333336","1.6568263619289774","1864380416","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_6","duckdb","0.05358104","0.053224854","0.053962018","1.0","19.333333333333332","5.287695128811069","1575067648","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_6","polars-cpu","0.05642629","0.053797897","0.063900446","1.0531018061612838","22.066666666666666","6.3222743720353165","1959202816","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","feature_width_6","polars-gpu","0.059014732","0.058699725","0.064616157","1.1014107228975025","1.5999999999999999","1.4544977213404569","1853038592","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","join_groupby","cudf","0.037605955","0.037582303","0.03791694","1.0660392941658248","7.0","1.1150689290251818","1538961408","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","join_groupby","duckdb","0.043391279","0.042005088","0.044219396","1.2300394562008163","25.666666666666668","4.947103875199218","1831878656","3","True"
"crossover","wide","zstd","5000000","491838526","864999948","join_groupby","polars-cpu","0.037239367","0.036272699","0.038404209","1.0556473971173477","47.666666666666664","6.110996034091173","1733922816","3","True"
