run_id,profile,repetition,phase,step_order,workload,rows_in,rows_out,input_bytes,output_bytes,elapsed_ms,rows_per_second,peak_rss_bytes,snapshot_before,snapshot_after,correctness,details_json
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,3,prepare_and_model,10000000,9999800,0,1507068966,5939.695,1683588.13,857960448,294,300,True,"{""accepted"":9999800,""daily_rows"":1800,""managed_files"":14,""quarantined"":200}"
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,4,apply_incremental,500000,10249810,36795992,1526711098,4643.355,107680.77,860737536,300,306,True,"{""after_rows"":10249810,""before_rows"":9999800,""managed_files"":16,""operations"":{""delete"":50000,""insert"":300000,""update"":150000}}"
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,5,process_events,20000000,19998000,3541329637,1526740969,9885.133,2023240.38,869187584,306,310,True,"{""accepted"":19998000,""managed_files"":16,""quarantined"":2000,""sessions"":2857143}"
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,6,validate_quality,30250010,6,0,1526740969,2038.676,,458731520,310,311,True,"{""managed_files"":16,""metrics"":{""events_accepted"":19998000.0,""events_quarantined"":2000.0,""fact_revenue"":3853270241.04,""orders_accepted"":10249810.0,""orders_quarantined"":200.0,""sessions"":2857143.0}}"
13fd43cf-6cb7-4251-b811-537411176ae0,medium,1,measured,7,query_history,20249610,2,0,1526740969,350.008,57854673.12,428707840,311,311,True,"{""current_revenue"":3853270241.04,""current_rows"":10249810,""historical_revenue"":3782951586.66,""historical_rows"":9999800,""historical_snapshot"":300,""managed_files"":16}"
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,1,generate_sources,0,31600000,0,3831174183,32557.649,970586.06,139546624,313,313,True,"{""changes"":500000,""customers"":1000000,""events"":20000000,""orders"":10000000,""products"":100000,""seed"":20260901}"
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,2,ingest_batch,11100000,11100000,253048554,1526740969,2329.636,4764692.24,242061312,313,316,True,"{""customers"":1000000,""managed_files"":16,""orders"":10000000,""products"":100000}"
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,3,prepare_and_model,10000000,9999800,0,1507079470,5982.793,1671460.02,845238272,316,322,True,"{""accepted"":9999800,""daily_rows"":1800,""managed_files"":14,""quarantined"":200}"
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,4,apply_incremental,500000,10249810,36795992,1526857670,4676.989,106906.39,864538624,322,328,True,"{""after_rows"":10249810,""before_rows"":9999800,""managed_files"":16,""operations"":{""delete"":50000,""insert"":300000,""update"":150000}}"
f0f61ec5-b311-4e75-a729-e3995c10bedb,medium,2,measured,5,process_events,20000000,19998000,3541329637,1526884344,9910.769,2018006.96,873349120,328,332,True,"{""accepted"":19998000,""managed_files"":16,""quarantined"":2000,""sessions"":2857143}"
