rows,features,input_bytes,implementation,layout,block_size,replications,resident_wall_seconds,resident_wall_seconds_min,resident_wall_seconds_max,resident_device_seconds,one_shot_seconds,one_shot_seconds_min,one_shot_seconds_max,cold_compile_seconds,aos_to_soa_conversion_seconds,max_abs_score_error,flag_mismatches,registers_per_thread,static_shared_memory_bytes,active_blocks_per_multiprocessor,theoretical_occupancy,resident_speedup_vs_numpy,one_shot_speedup_vs_numpy
1048576,16,67108864,raw_soa_b256,soa,256,3,0.00018287700368091464,0.00018283200915902853,0.00018333998741582036,0.00017632000148296357,0.005723679001675919,0.005672735976986587,0.005735785001888871,0.058016171999042854,0.0014831589942332357,5.7220458984375e-06,0,39,0,6,1.0,324.0990218037223,10.35527289109427
1048576,16,67108864,raw_strided_b256,strided,256,3,0.000188770005479455,0.00018826397717930377,0.0001891290012281388,0.00018240000307559966,,,,0.058016171999042854,0.0014831589942332357,5.7220458984375e-06,0,39,0,6,1.0,313.98133327824104,
16384,16,1048576,cupy_composed,aos,,3,9.60059987846762e-05,9.597899043001235e-05,9.687899728305638e-05,9.107200056314469e-05,0.0002378470089752227,0.0002353109885007143,0.00023922297987155616,,1.7917976947501302e-05,1.9073486328125e-06,0,,,,,4.955784040032243,2.0003825088000884
16384,16,1048576,cupy_partial_fusion,aos,,3,7.886902312748134e-05,7.822498446330428e-05,7.95370142441243e-05,7.398399710655212e-05,0.00020693198894150555,0.00020552100613713264,0.00020749500254169106,0.04389719798928127,1.7917976947501302e-05,1.9073486328125e-06,0,,,,,6.032596546243633,2.299233670725243
16384,16,1048576,numpy,aos,,3,0.00047578499652445316,0.00046707899309694767,0.0004876720195170492,,0.00047578499652445316,0.00046707899309694767,0.0004876720195170492,,1.7917976947501302e-05,0.0,0,,,,,1.0,1.0
16384,16,1048576,raw_aos_b256,aos,256,3,1.567899016663432e-05,1.5184021322056651e-05,1.577497459948063e-05,1.0879999957978725e-05,0.00014182701124809682,0.00014140899293124676,0.00014255399582907557,0.05774776899488643,1.7917976947501302e-05,3.814697265625e-06,0,39,0,6,1.0,30.345385223657296,3.354685347575762
16384,16,1048576,raw_soa_b256,soa,256,3,1.5038996934890747e-05,1.4371995348483324e-05,1.5635014278814197e-05,1.0143999941647053e-05,0.00016153199248947203,0.00016133798635564744,0.0001637050008866936,0.05774776899488643,1.7917976947501302e-05,3.814697265625e-06,0,39,0,6,1.0,31.63675068119891,2.9454536478615085
16384,16,1048576,raw_strided_b256,strided,256,3,1.5452009392902255e-05,1.5327008441090584e-05,1.5480996808037162e-05,1.0751999914646148e-05,,,,0.05774776899488643,1.7917976947501302e-05,3.814697265625e-06,0,39,0,6,1.0,30.791140778299088,
16777216,16,1073741824,cupy_composed,aos,,3,0.10014213397516869,0.09962079700198956,0.10043620600481518,0.10013497924804687,0.18795025598956272,0.18778458697488531,0.1881423690065276,,0.02367091499036178,3.814697265625e-06,0,,,,,10.454400774675726,5.570229194398235
16777216,16,1073741824,cupy_partial_fusion,aos,,3,0.08301617600955069,0.08275125798536465,0.08344681301969104,0.08300921630859374,0.17084902498754673,0.17053586698602885,0.17105407800409012,0.04352782102068886,0.02367091499036178,3.814697265625e-06,0,,,,,12.611108501158125,6.127784475703007
