dataset_id,rows,features,input_gib,clusters,informative_features,cluster_scale,algorithm,engine,replications,load_seconds,explicit_transfer_seconds,fit_seconds,fit_seconds_min,fit_seconds_max,one_shot_fit_seconds,one_shot_fit_seconds_min,one_shot_fit_seconds_max,quality_metric,quality_value,peak_gpu_memory_gib,fit_energy_joules,fit_speedup_vs_cpu,one_shot_speedup_vs_cpu,quality_gap_vs_cpu
r100000-f16-56c3ab1266f5,100000,16,0.0059604644775390625,16,8,6.0,hdbscan,native_gpu,3,0.0023069939925335348,0.004722379002487287,0.508756530995015,0.5087028479902074,0.5125011490017641,0.5165662339859409,0.5152691059920471,0.5193313899944769,adjusted_rand_score,0.9999465777382499,1.03753662109375,20.36584916031617,3.3148853297273937,3.268871565532857,-4.003583105860464e-05
r100000-f16-56c3ab1266f5,100000,16,0.0059604644775390625,16,8,6.0,umap,accel,3,0.0019764620083151385,0.0,0.3210480100096902,0.3194751249975525,0.32276629700209014,0.32299704299657606,0.3214515870058676,0.32519499299814925,trustworthiness,0.9770399598393574,0.93402099609375,5.66791198146285,66.09673694399234,65.70506150496217,0.000653915662650606
r100000-f16-56c3ab1266f5,100000,16,0.0059604644775390625,16,8,6.0,umap,cpu,3,0.0023812639992684126,0.0,21.220225864002714,21.150861903006444,21.23844932699285,21.222540576010942,21.153472459016484,21.24083059099212,trustworthiness,0.9763860441767068,0.468994140625,151.2567975045252,1.0,1.0,0.0
r100000-f16-56c3ab1266f5,100000,16,0.0059604644775390625,16,8,6.0,umap,native_gpu,3,0.0021388510067481548,0.0047254899982362986,0.3083168759912951,0.3076922930049477,0.31073365100019146,0.3158284709788859,0.3143273570021847,0.31760417998884805,trustworthiness,0.9770399598393574,0.81878662109375,5.29818355927497,68.82602775399761,67.19641364261214,0.000653915662650606
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,kmeans,accel,3,0.0020335669978521764,0.0,0.025395156000740826,0.016526436011190526,0.027962027001194656,0.027178688993444666,0.018655821011634544,0.029995593999046832,adjusted_rand_score,0.9132044558766278,0.92230224609375,0.0,1.6457839049726017,1.617430591776994,-0.08287132098207883
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,kmeans,cpu,3,0.0021647040121024475,0.0,0.041794939010287635,0.04079190699849278,0.042140493998886086,0.04395964302239008,0.0429355269880034,0.045277387005626224,adjusted_rand_score,0.9960757768587066,0.468994140625,0.14790516437683254,1.0,1.0,0.0
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,kmeans,native_gpu,3,0.0026705780037445948,0.00470200800918974,0.0075512979965424165,0.006945034998352639,0.007653079999727197,0.014375958999153227,0.014314946995000355,0.015046030006487854,adjusted_rand_score,0.9960495003934235,0.76995849609375,0.0,5.534801967744443,3.05785812445482,-2.6276465283081585e-05
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,logistic_regression,accel,3,0.0020740649924846366,0.0,0.014475671996478923,0.014350857003591955,0.016503529986948706,0.01642492199607659,0.016424859000835568,0.018624479984282516,roc_auc,0.9911453565976579,0.94378662109375,0.0,1.3323007730085974,1.3366795283911408,-9.272484075006915e-07
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,logistic_regression,cpu,3,0.002668907996849157,0.0,0.019285948990727775,0.01918076298898086,0.019334265001816675,0.02195485698757693,0.021328300979803316,0.0227671820030082,roc_auc,0.9911462838460654,0.468994140625,0.0,1.0,1.0,0.0
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,logistic_regression,native_gpu,3,0.0021975120034767315,0.004676818993175402,0.015871105002588592,0.014366757997777313,0.017922751998412423,0.022700112996972166,0.02127975699841045,0.02455464999366086,roc_auc,0.9911454027039323,0.83050537109375,0.0,1.215161073383499,0.9671695022181326,-8.811421331467173e-07
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,pca,accel,3,0.0021071179944556206,0.0,0.004449832995305769,0.004446534992894158,0.004607124996255152,0.006553652987349778,0.006522233990835957,0.006934832985280082,explained_variance_ratio_sum,0.9115373492240906,0.97503662109375,0.0,2.3314899714165134,1.992636631889108,-5.960464477539063e-08
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,pca,cpu,3,0.0025644960114732385,0.0,0.010374741003033705,0.009873486997094005,0.011265736000495963,0.013059049015282653,0.012437983008567244,0.013412254993454553,explained_variance_ratio_sum,0.9115374088287354,0.468994140625,0.0,1.0,1.0,0.0
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,pca,native_gpu,3,0.0021461760043166578,0.004756130001624115,0.0051932860078522936,0.0046309829922392964,0.005361132003599778,0.012206546001834795,0.011533288998180069,0.01391947599768173,explained_variance_ratio_sum,0.9115373492240906,0.86370849609375,0.0,1.997721863834768,1.0698398231014503,-5.960464477539063e-08
r100000-f16-c266220c3755,100000,16,0.0059604644775390625,16,8,3.0,xgboost,cpu,3,0.002235054998891428,0.0,0.36760749699897133,0.36436851701000705,0.3754428269894561,0.37025351999909617,0.36651683601667173,0.3776778819883475,roc_auc,0.9899052310119533,0.69378662109375,5.886755628392347,1.0,1.0,0.0
