dataset_id,algorithm,engine,batch_size,latency_ms,latency_ms_min,latency_ms_max,rows_per_second,speedup_vs_cpu,break_even_batches
r100000-f16-c266220c3755,logistic_regression,native_gpu,256,0.2451920008752495,0.2416280040051788,0.24524300533812493,1044079.7378632652,0.21317987169445013,
r100000-f16-c266220c3755,logistic_regression,native_gpu,4096,0.2584610047051683,0.25437599106226116,0.26796499150805175,15847651.775061348,0.29037258242004177,
r100000-f16-c266220c3755,pca,accel,1,0.2501550188753754,0.236521998886019,0.25232500047422945,3997.5212350154347,0.20368165667104232,
r100000-f16-c266220c3755,pca,accel,256,0.2473960048519075,0.24330899759661406,0.24820199178066105,1034778.2299606774,0.19416650530288823,
r100000-f16-c266220c3755,pca,accel,4096,0.3407980111660436,0.33586399513296783,0.34311100898776203,12018849.482089106,0.22167090011166354,
r100000-f16-c266220c3755,pca,cpu,1,0.050951988669112325,0.050255999667569995,0.05252497794572264,19626.319327673493,1.0,
r100000-f16-c266220c3755,pca,cpu,256,0.04803601768799126,0.04753099346999079,0.04905999230686575,5329334.368698065,1.0,
r100000-f16-c266220c3755,pca,cpu,4096,0.07554500189144164,0.07349201769102365,0.0801150017650798,54219338.10903814,1.0,
r100000-f16-c266220c3755,pca,native_gpu,1,0.1535680057713762,0.15248300042003393,0.1539779914310202,6511.773041376511,0.3317877862200471,
r100000-f16-c266220c3755,pca,native_gpu,256,0.19320299907121807,0.19316999532748014,0.19822298781946301,1325031.1911857736,0.24862977240992168,
r100000-f16-c266220c3755,pca,native_gpu,4096,0.18696598999667913,0.18653800361789763,0.18757701036520302,21907727.710653435,0.404057453940064,
r100000-f16-c266220c3755,xgboost,cpu,1,0.21040499268565327,0.1952179882209748,0.21473200467880815,4752.738930934058,1.0,
r100000-f16-c266220c3755,xgboost,cpu,256,0.31534199661109596,0.3088590019615367,0.31690399919170886,811817.0200961812,1.0,
r100000-f16-c266220c3755,xgboost,cpu,4096,1.0359970037825406,1.0238830000162125,1.1293879942968488,3953679.388111208,1.0,
r100000-f16-c266220c3755,xgboost,native_gpu,1,0.8529019978595898,0.8430560119450092,0.8554630185244605,1172.4676486976953,0.24669304704840367,
r100000-f16-c266220c3755,xgboost,native_gpu,256,0.8886730065569282,0.8807689882814884,0.900752012967132,288069.9628672706,0.3548459267744116,
